#cores	LS time	Mg time	Cl time	F time	OH time	SUM
135	2.45107	18.5127	17.2776	1.63792	19.3634	59.24269
225	1.59595	11.7273	11.0162	0.916539	12.7792	38.035189
360	1.057	8.11782	7.67061	0.595659	8.94197	26.383059
450	0.83586	6.43067	6.01556	0.434645	7.37561	21.092345
675	0.593064	4.54953	4.26242	0.332524	5.51784	15.255378
900	0.499307	3.67734	3.40848	0.422296	4.53077	12.538193
1350	0.335896	2.55677	2.41486	0.184101	3.60477	9.096397
1800	0.276481	2.03061	1.9036	0.136036	3.09525	7.441977
2250	0.254073	1.8434	1.72611	0.121282	3.27094	7.215805
2700	0.234623	1.72676	1.64963	0.113639	2.9585	6.683152
3600	0.184099	1.36257	1.2825	0.0960221	2.54044	5.4656311
4500	0.167377	1.22954	1.15234	0.0847473	3.36919	6.0031943
5400	0.138886	0.992568	0.936397	0.0719194	2.28244	4.4222104
7200	0.124736	0.853116	0.81696	0.0647813	2.30363	4.1632233
