days,Force,5 screws,4 screws,2 screws
0,362.6847,436.1,418.6,405.1
8,356.9283,,,
16,351.9708,,,
24,347.5208,,,
28,,405,374.8,328.2
32,343.3366,,,
40,339.3267,,,
48,335.4554,,,
56,331.6546,,,
64,327.8913,,,
72,324.1523,,,
77,,368.5,337.9,274.8
80,320.3674,,,
88,316.5256,,,
96,312.6265,,,
104,308.6639,,,
112,304.6465,,,
120,300.5919,,,
124,,338,302,226.8
128,296.5164,,,
136,292.4208,,,
144,288.306,,,
152,284.1728,,,
160,280.0221,,,
168,275.8547,,,
170,,300.9,263.7,185.6
